classification,orientation,distance,time,predicted
different,0.45967,0.234,0.40145,different
different,0.45894,0.65,0.01062,different
same,0,0,0.00002,same
different,0.45967,0.241,0.40158,different
different,0.45894,0.657,0.01075,different
same,0,0.008,0.00013,same
different,0.45967,0.241,0.4016,different
different,0.45894,0.657,0.01077,different
same,0,0,0.00002,same
different,0.45967,0.247,0.40172,different
different,0.45894,0.665,0.01089,different
same,0,0.008,0.00012,same
different,0.45967,0.247,0.40182,different
different,0.45894,0.665,0.01099,different
same,0,0,0.0001,same
different,0.45967,0.254,0.40187,different
different,0.45894,0.672,0.01104,different
same,0,0.008,0.00005,same
different,0.45967,0.254,0.40189,different
different,0.45894,0.672,0.01106,different
same,0,0,0.00002,same
different,0.62655,0.261,0.40203,different
different,0.29206,0.679,0.0112,different
same,0.16688,0.007,0.00014,same
different,0.62655,0.261,0.40205,different
different,0.29206,0.679,0.01122,different
same,0,0,0.00002,same
different,0.62655,0.267,0.40216,different
different,0.29206,0.686,0.01133,different
same,0,0.007,0.00011,same
different,0.62655,0.267,0.40218,different
different,0.29206,0.686,0.01135,different
same,0,0,0.00002,same
different,0.62655,0.273,0.40231,different
different,0.29206,0.692,0.01148,different
same,0,0.007,0.00013,same
different,0.62655,0.273,0.40233,different
different,0.29206,0.692,0.0115,different
same,0,0,0.00002,same
different,0.62655,0.28,0.40246,different
different,0.29206,0.699,0.01163,different
same,0,0.007,0.00013,same
different,0.62655,0.28,0.40247,different
different,0.29206,0.699,0.01164,different
same,0,0,0.00001,same
different,0.62655,0.287,0.40261,different
different,0.29206,0.706,0.01178,different
same,0,0.007,0.00014,same
different,0.62655,0.287,0.40263,different
different,0.29206,0.706,0.0118,different
same,0,0,0.00002,same
different,0.62655,0.293,0.40275,different
different,0.29206,0.712,0.01192,different
same,0,0.007,0.00012,same
different,0.62655,0.293,0.40284,different
different,0.29206,0.712,0.01201,different
same,0,0,0.0001,same
different,0.62655,0.3,0.4029,different
different,0.29206,0.719,0.01207,different
same,0,0.007,0.00005,same
different,0.62655,0.3,0.40291,different
different,0.29206,0.719,0.01208,different
same,0,0,0.00001,same
different,0.62655,0.305,0.40305,different
different,0.29206,0.725,0.01222,different
same,0,0.006,0.00015,same
different,0.62655,0.305,0.40307,different
different,0.29206,0.725,0.01224,different
same,0,0,0.00002,same
different,0.62655,0.311,0.40319,different
different,0.29206,0.73,0.01236,different
same,0,0.006,0.00011,same
different,0.62655,0.311,0.4032,different
different,0.29206,0.73,0.01237,different
same,0,0,0.00002,same
different,0.62655,0.317,0.40333,different
different,0.29206,0.736,0.0125,different
same,0,0.006,0.00013,same
different,0.62655,0.317,0.40335,different
different,0.29206,0.736,0.01252,different
same,0,0,0.00002,same
different,0.62655,0.323,0.40347,different
different,0.29206,0.742,0.01264,different
same,0,0.006,0.00012,same
different,0.62655,0.323,0.40349,different
different,0.29206,0.742,0.01266,different
same,0,0,0.00002,same
different,0.62655,0.328,0.40363,different
different,0.29206,0.748,0.0128,different
same,0,0.006,0.00014,same
different,0.62655,0.328,0.40364,different
different,0.29206,0.748,0.01281,different
same,0,0,0.00001,same
different,0.62655,0.333,0.40377,different
different,0.29206,0.753,0.01294,different
same,0,0.005,0.00013,same
different,0.62655,0.333,0.40387,different
different,0.29206,0.753,0.01304,different
same,0,0,0.0001,same
different,0.62655,0.338,0.40391,different
different,0.29206,0.758,0.01308,different
same,0,0.005,0.00004,same
different,0.62655,0.338,0.40393,different
different,0.29206,0.758,0.0131,different
same,0,0,0.00002,same
different,0.62655,0.343,0.40408,different
different,0.29206,0.763,0.01325,different
same,0,0.005,0.00015,same
different,0.62655,0.343,0.40409,different
different,0.29206,0.763,0.01326,different
same,0,0,0.00001,same
different,0.78848,0.348,0.40421,different
different,0.13013,0.768,0.01338,different
same,0.16193,0.005,0.00012,same
different,0.78848,0.348,0.40423,different
different,0.13013,0.768,0.0134,different
same,0,0,0.00002,same
different,0.78848,0.352,0.40436,different
different,0.13013,0.772,0.01353,different
same,0,0.004,0.00013,same
different,0.78848,0.352,0.40438,different
different,0.13013,0.772,0.01355,different
same,0,0,0.00002,same
different,0.78848,0.356,0.4045,different
different,0.13013,0.776,0.01367,different
same,0,0.004,0.00012,same
different,0.78848,0.356,0.40452,different
different,0.13013,0.776,0.01369,different
same,0,0,0.00002,same
different,0.78848,0.36,0.40465,different
different,0.13013,0.779,0.01382,different
same,0,0.003,0.00013,same
different,0.78848,0.36,0.40466,different
different,0.13013,0.779,0.01384,different
same,0,0,0.00002,same
different,0.93394,0.362,0.4048,different
different,0.98467,0.782,0.01397,different
same,0.14546,0.003,0.00013,same
different,0.93394,0.362,0.40489,different
different,0.98467,0.782,0.01406,different
same,0,0,0.0001,same
different,0.93394,0.365,0.40494,different
different,0.98467,0.784,0.01411,different
same,0,0.002,0.00004,same
different,0.93394,0.365,0.40495,different
different,0.98467,0.784,0.01412,different
same,0,0,0.00002,same
different,0.93394,0.367,0.40509,different
different,0.98467,0.786,0.01426,different
same,0,0.002,0.00014,same
different,0.93394,0.367,0.40511,different
different,0.98467,0.786,0.01428,different
same,0,0,0.00002,same
different,0.93394,0.368,0.40523,different
different,0.98467,0.788,0.0144,different
same,0,0.002,0.00012,same
different,0.93394,0.368,0.40524,different
different,0.98467,0.788,0.01441,different
same,0,0,0.00001,same
different,0.93394,0.369,0.40538,different
different,0.98467,0.789,0.01455,different
same,0,0.001,0.00014,same
different,0.93394,0.369,0.40539,different
different,0.98467,0.789,0.01456,different
same,0,0,0.00001,same
different,0.93394,0.369,0.40552,different
different,0.98467,0.789,0.01469,different
same,0,0.001,0.00013,same
different,0.93394,0.369,0.40554,different
different,0.98467,0.789,0.01471,different
same,0,0,0.00002,same
different,0.93394,0.37,0.40567,different
different,0.98467,0.79,0.01484,different
same,0,0.001,0.00013,same
different,0.93394,0.37,0.40569,different
different,0.98467,0.79,0.01486,different
same,0,0,0.00002,same
different,0.93394,0.37,0.40581,different
different,0.98467,0.79,0.01498,different
same,0,0,0.00012,same
different,0.93394,0.37,0.40591,different
different,0.98467,0.79,0.01508,different
same,0,0,0.0001,same
different,0.93394,0.371,0.40598,different
different,0.98467,0.791,0.01515,different
same,0,0.001,0.00007,same
different,0.93394,0.371,0.406,different
different,0.98467,0.791,0.01517,different
same,0,0,0.00003,same
different,0.93394,0.371,0.40611,different
different,0.98467,0.791,0.01528,different
same,0,0,0.00011,same
different,0.93394,0.371,0.40612,different
different,0.98467,0.791,0.01529,different
same,0,0,0.00001,same
different,0.93394,0.371,0.40625,different
different,0.98467,0.791,0.01542,different
same,0,0,0.00013,same
different,0.93394,0.371,0.40627,different
different,0.98467,0.791,0.01544,different
same,0,0,0.00002,same
different,0.93394,0.372,0.4064,different
different,0.98467,0.792,0.01557,different
same,0,0.001,0.00013,same
different,0.93394,0.372,0.40641,different
different,0.98467,0.792,0.01559,different
same,0,0,0.00002,same
different,0.93394,0.372,0.40655,different
